ID,Date,Temp_m,Generation,Irradiance,Capacity,Lat,Lon,Angle,Irradiance_m,Temp,Module
1,2020/6/9,,630,8.37,499.8,25.11,121.26,22,2325,26.3,MM60-6RT-300
2,2020/6/10,,2246,17.11,499.8,25.11,121.26,22,4753,27.9,MM60-6RT-300
3,2020/6/11,,1147,12.26,499.8,25.11,121.26,22,3406,28,MM60-6RT-300
4,2020/6/12,,2946,21.51,499.8,25.11,121.26,22,5975,28.6,MM60-6RT-300
5,2020/6/13,,3139,23.18,499.8,25.11,121.26,22,6439,29.1,MM60-6RT-300
6,2020/6/14,,2618,18.57,499.8,25.11,121.26,22,5158,28.3,MM60-6RT-300
7,2020/6/15,,3093,27.04,499.8,25.11,121.26,22,7511,29,MM60-6RT-300
8,2020/6/16,,3256,28.65,499.8,25.11,121.26,22,7958,29.3,MM60-6RT-300
9,2020/6/17,,3280,28.63,499.8,25.11,121.26,22,7953,29.2,MM60-6RT-300
10,2020/6/18,,3238,28.6,499.8,25.11,121.26,22,7944,29.4,MM60-6RT-300
11,2020/6/19,,3017,26.08,499.8,25.11,121.26,22,7244,29.4,MM60-6RT-300
12,2020/6/20,,3219,27.27,499.8,25.11,121.26,22,7575,29.6,MM60-6RT-300
13,2020/6/21,,2551,21.69,499.8,25.11,121.26,22,6025,29.4,MM60-6RT-300
14,2020/6/22,,2872,25.25,499.8,25.11,121.26,22,7014,29.6,MM60-6RT-300
15,2020/6/23,,3070,26.71,499.8,25.11,121.26,22,7419,30.4,MM60-6RT-300
16,2020/6/24,,2902,26.2,499.8,25.11,121.26,22,7278,30.2,MM60-6RT-300
17,2020/6/25,,3054,27.54,499.8,25.11,121.26,22,7650,30.5,MM60-6RT-300
18,2020/6/26,,2349,20.06,499.8,25.11,121.26,22,5572,29.3,MM60-6RT-300
19,2020/6/27,,2985,27.61,499.8,25.11,121.26,22,7669,29.8,MM60-6RT-300
20,2020/6/28,,2966,26.16,499.8,25.11,121.26,22,7267,29.7,MM60-6RT-300
21,2020/6/29,,2960,24.71,499.8,25.11,121.26,22,6864,30.5,MM60-6RT-300
22,2020/6/30,,2650,23.69,499.8,25.11,121.26,22,6581,30.3,MM60-6RT-300
23,2020/7/1,,2703,20.73,499.8,25.11,121.26,22,5758,29.6,MM60-6RT-300
24,2020/7/2,,2153,16.73,499.8,25.11,121.26,22,4647,28.1,MM60-6RT-300
25,2020/7/3,,2268,18.42,499.8,25.11,121.26,22,5117,28.9,MM60-6RT-300
26,2020/7/4,,2778,24.77,499.8,25.11,121.26,22,6881,29.7,MM60-6RT-300
27,2020/7/5,,3063,25.34,499.8,25.11,121.26,22,7039,29.6,MM60-6RT-300
28,2020/7/6,,2781,24.09,499.8,25.11,121.26,22,6692,30,MM60-6RT-300
29,2020/7/7,,2744,22.49,499.8,25.11,121.26,22,6247,30.4,MM60-6RT-300
30,2020/7/8,,2452,20.23,499.8,25.11,121.26,22,5619,30.2,MM60-6RT-300
31,2020/7/9,,1844,16.1,499.8,25.11,121.26,22,4472,30.4,MM60-6RT-300
32,2020/7/10,,2309,16.2,499.8,25.11,121.26,22,4500,30,MM60-6RT-300
33,2020/7/11,,3052,26.32,499.8,25.11,121.26,22,7311,29.8,MM60-6RT-300
34,2020/7/12,,3124,28.28,499.8,25.11,121.26,22,7856,30.1,MM60-6RT-300
35,2020/7/13,,3059,27.13,499.8,25.11,121.26,22,7536,30.2,MM60-6RT-300
